id_capteur,zone,latitude,longitude,date_heure,temperature_air,humidite_air,pression,vitesse_vent,direction_vent,pluviometrie,altitude,precision_gps,etat_capteur
MA01,Zone A,14.1748,-6.8569,2025-04-01 01:00:00,33.9,50.5,1010.0,14.4,SO,1.58,179.4,3.1,OK
MA01,Zone A,14.1748,-6.8569,2025-04-01 02:00:00,36.1,71.9,1020.6,15.8,SE,2.84,179.4,1.3,OK
MA01,Zone A,14.1748,-6.8569,2025-04-01 05:00:00,34.5,59.1,1017.8,8.2,SE,0.46,179.4,1.9,OK
MA01,Zone A,14.1748,-6.8569,2025-04-01 06:00:00,31.4,69.5,1009.6,25.7,S,1.02,179.4,2.3,OK
MA01,Zone A,14.1748,-6.8569,2025-04-01 08:00:00,30.5,70.9,1011.2,14.4,E,4.23,179.4,1.4,OK
MA01,Zone A,14.1748,-6.8569,2025-04-01 10:00:00,29.6,64.6,1008.0,17.2,NE,0.57,179.4,2.5,OK
MA01,Zone A,14.1748,-6.8569,2025-04-01 13:00:00,31.9,52.3,1017.2,13.9,N,1.27,179.4,2.1,OK
MA01,Zone A,14.1748,-6.8569,2025-04-01 14:00:00,35.3,45.5,1009.2,16.4,S,1.82,179.4,2.0,OK
MA01,Zone A,14.1748,-6.8569,2025-04-01 16:00:00,31.1,72.5,1018.7,14.6,NO,3.03,179.4,2.3,OK
MA01,Zone A,14.1748,-6.8569,2025-04-01 22:00:00,30.8,55.6,1005.8,10.8,SO,1.3,179.4,1.5,OK
MA01,Zone A,14.1748,-6.8569,2025-04-02 00:00:00,31.3,56.3,1017.4,9.9,E,0.06,179.4,2.2,OK
MA01,Zone A,14.1748,-6.8569,2025-04-02 02:00:00,33.2,46.7,1022.6,6.6,NE,2.2,179.4,2.0,OK
MA01,Zone A,14.1748,-6.8569,2025-04-02 04:00:00,34.3,37.7,1013.7,18.8,S,5.59,179.4,3.1,OK
MA01,Zone A,14.1748,-6.8569,2025-04-02 05:00:00,27.9,81.9,1011.7,16.3,SO,0.87,179.4,1.6,OK
MA01,Zone A,14.1748,-6.8569,2025-04-02 07:00:00,24.6,46.9,1016.7,13.6,O,1.88,179.4,1.8,OK
MA01,Zone A,14.1748,-6.8569,2025-04-02 08:00:00,28.1,46.6,1012.1,17.2,E,0.82,179.4,3.3,OK
MA01,Zone A,14.1748,-6.8569,2025-04-02 14:00:00,27.3,59.0,1008.0,11.9,SE,0.96,179.4,3.1,OK
MA01,Zone A,14.1748,-6.8569,2025-04-02 15:00:00,30.5,56.4,1013.2,4.8,E,1.51,179.4,3.0,OK
MA01,Zone A,14.1748,-6.8569,2025-04-02 17:00:00,34.6,64.4,1010.6,14.0,SO,0.27,179.4,3.4,OK
MA01,Zone A,14.1748,-6.8569,2025-04-02 20:00:00,23.4,77.4,1010.5,10.1,S,4.23,179.4,2.0,OK
MA01,Zone A,14.1748,-6.8569,2025-04-02 23:00:00,31.3,65.4,1010.5,15.4,E,0.73,179.4,3.3,OK
MA01,Zone A,14.1748,-6.8569,2025-04-03 02:00:00,28.5,57.7,1016.8,9.5,S,2.8,179.4,1.9,OK
MA01,Zone A,14.1748,-6.8569,2025-04-03 03:00:00,33.3,52.1,1010.8,13.8,NO,2.44,179.4,2.9,OK
MA01,Zone A,14.1748,-6.8569,2025-04-03 09:00:00,23.8,47.4,1010.3,15.1,S,6.99,179.4,2.4,OK
MA01,Zone A,14.1748,-6.8569,2025-04-03 11:00:00,29.2,77.7,1013.1,19.8,SO,2.11,179.4,2.7,OK
MA01,Zone A,14.1748,-6.8569,2025-04-03 12:00:00,29.9,54.6,1020.6,10.4,NE,0.74,179.4,2.4,OK
MA01,Zone A,14.1748,-6.8569,2025-04-03 22:00:00,29.2,75.9,1016.2,3.0,NO,0.6,179.4,2.6,OK
MA01,Zone A,14.1748,-6.8569,2025-04-04 01:00:00,28.2,61.9,1004.6,15.1,NE,0.14,179.4,2.4,OK
MA01,Zone A,14.1748,-6.8569,2025-04-04 03:00:00,34.2,67.0,1010.7,10.5,E,0.19,179.4,3.1,OK
MA01,Zone A,14.1748,-6.8569,2025-04-04 07:00:00,29.3,64.4,1015.2,13.2,SE,0.13,179.4,1.5,OK
MA01,Zone A,14.1748,-6.8569,2025-04-04 08:00:00,29.1,53.4,1012.1,17.8,O,4.41,179.4,2.5,OK
MA01,Zone A,14.1748,-6.8569,2025-04-04 11:00:00,29.8,61.9,1010.3,19.4,SO,0.83,179.4,2.2,OK
MA01,Zone A,14.1748,-6.8569,2025-04-04 12:00:00,34.1,60.7,1014.6,18.4,NE,1.31,179.4,2.0,OK
MA01,Zone A,14.1748,-6.8569,2025-04-04 14:00:00,31.3,73.8,1014.9,10.0,O,0.38,179.4,2.4,OK
MA01,Zone A,14.1748,-6.8569,2025-04-04 17:00:00,32.6,87.8,1009.9,23.4,N,1.78,179.4,2.0,OK
MA01,Zone A,14.1748,-6.8569,2025-04-04 22:00:00,30.6,73.7,1007.2,12.9,S,0.07,179.4,2.5,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 00:00:00,25.6,52.9,1013.6,11.2,NE,0.65,179.4,2.5,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 04:00:00,33.3,73.6,1016.0,21.4,NO,0.56,179.4,2.2,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 05:00:00,30.5,76.2,1011.1,15.5,SO,3.02,179.4,2.9,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 06:00:00,32.1,65.3,1003.2,18.8,S,5.26,179.4,1.0,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 09:00:00,30.8,62.1,1013.2,11.5,O,3.0,179.4,1.5,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 12:00:00,25.5,68.4,1017.2,15.1,SO,0.9,179.4,1.7,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 14:00:00,29.8,80.6,1013.5,7.9,NE,1.67,179.4,2.9,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 15:00:00,35.1,64.0,1008.9,12.3,SE,1.2,179.4,2.7,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 17:00:00,34.5,74.7,1006.0,19.4,NO,0.36,179.4,1.8,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 18:00:00,31.8,35.9,1011.1,1.8,N,3.52,179.4,1.3,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 21:00:00,32.3,41.6,1012.8,16.9,SO,4.48,179.4,2.8,OK
MA01,Zone A,14.1748,-6.8569,2025-04-05 22:00:00,35.5,44.7,1012.5,11.8,SE,1.02,179.4,2.2,OK
MA01,Zone A,14.1748,-6.8569,2025-04-06 02:00:00,33.0,61.2,1016.8,6.5,NE,0.64,179.4,2.0,OK
MA01,Zone A,14.1748,-6.8569,2025-04-06 07:00:00,27.7,55.3,1007.3,14.5,NO,0.32,179.4,1.4,OK
MA01,Zone A,14.1748,-6.8569,2025-04-06 08:00:00,21.9,53.6,1013.9,12.3,S,1.76,179.4,1.9,OK
MA01,Zone A,14.1748,-6.8569,2025-04-06 10:00:00,28.1,69.0,1010.8,10.9,O,2.46,179.4,1.9,OK
MA01,Zone A,14.1748,-6.8569,2025-04-06 11:00:00,29.8,81.7,1012.0,23.9,NE,0.69,179.4,1.3,OK
