id_capteur,zone,latitude,longitude,date_heure,humidite_sol,temperature_sol,altitude,precision_gps,etat_capteur
SA01,Zone A,14.1348,-6.7749,2025-04-01 00:00:00,46.1,24.7,140.3,3.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 01:00:00,49.5,34.0,140.3,2.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 05:00:00,44.9,32.7,140.3,2.9,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 06:00:00,28.1,25.8,140.3,2.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 07:00:00,38.4,24.5,140.3,2.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 08:00:00,29.7,24.6,140.3,1.9,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 09:00:00,38.5,21.0,140.3,2.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 10:00:00,47.0,25.2,140.3,2.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 11:00:00,48.2,26.9,140.3,2.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 13:00:00,35.4,34.6,140.3,1.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 14:00:00,33.9,20.1,140.3,2.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 15:00:00,50.7,28.2,140.3,2.8,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 17:00:00,24.8,31.5,140.3,1.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-01 19:00:00,39.4,32.9,140.3,1.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 00:00:00,43.8,29.2,140.3,2.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 01:00:00,29.7,30.8,140.3,2.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 02:00:00,60.6,27.9,140.3,1.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 03:00:00,29.4,26.1,140.3,2.2,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 05:00:00,29.1,24.0,140.3,2.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 08:00:00,42.6,28.4,140.3,2.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 09:00:00,35.3,21.7,140.3,1.2,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 10:00:00,37.9,34.1,140.3,2.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 11:00:00,39.8,31.2,140.3,1.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 12:00:00,26.9,29.0,140.3,2.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 14:00:00,47.5,35.4,140.3,1.8,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 15:00:00,51.3,29.5,140.3,1.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 17:00:00,49.8,29.1,140.3,2.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 21:00:00,43.0,32.1,140.3,2.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 22:00:00,33.7,25.1,140.3,2.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-02 23:00:00,48.3,28.3,140.3,2.9,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 00:00:00,35.1,28.6,140.3,2.8,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 01:00:00,47.3,26.0,140.3,2.9,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 03:00:00,36.5,35.7,140.3,1.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 04:00:00,56.0,30.6,140.3,1.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 05:00:00,39.0,29.3,140.3,1.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 06:00:00,50.8,20.4,140.3,2.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 07:00:00,38.9,29.3,140.3,2.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 10:00:00,42.3,29.5,140.3,1.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 11:00:00,44.2,27.6,140.3,1.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 14:00:00,40.8,25.9,140.3,1.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 15:00:00,35.3,35.0,140.3,1.9,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 17:00:00,30.9,29.0,140.3,2.2,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 18:00:00,51.6,25.1,140.3,1.9,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 19:00:00,59.0,18.2,140.3,1.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 20:00:00,38.8,31.0,140.3,1.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 21:00:00,43.3,24.3,140.3,1.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 22:00:00,37.5,18.1,140.3,1.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-03 23:00:00,46.9,22.7,140.3,2.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 00:00:00,7.2,27.8,140.3,2.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 02:00:00,23.9,26.5,140.3,1.8,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 03:00:00,33.4,27.4,140.3,3.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 05:00:00,26.2,23.8,140.3,1.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 06:00:00,34.0,35.8,140.3,2.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 07:00:00,39.2,24.4,140.3,1.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 10:00:00,43.8,26.0,140.3,2.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 12:00:00,32.2,27.9,140.3,3.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 13:00:00,29.8,30.2,140.3,2.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 14:00:00,23.9,24.4,140.3,1.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 15:00:00,51.4,22.0,140.3,2.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 17:00:00,36.2,24.5,140.3,2.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 20:00:00,58.7,32.4,140.3,1.2,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 21:00:00,29.4,25.2,140.3,2.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-04 22:00:00,40.4,26.2,140.3,2.2,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 00:00:00,28.8,24.3,140.3,2.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 01:00:00,31.3,29.2,140.3,2.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 04:00:00,34.0,32.8,140.3,1.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 05:00:00,55.4,25.6,140.3,1.8,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 06:00:00,50.7,21.7,140.3,1.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 08:00:00,44.6,22.9,140.3,1.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 09:00:00,40.8,33.2,140.3,3.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 10:00:00,28.3,28.7,140.3,2.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 11:00:00,35.5,21.1,140.3,1.8,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 13:00:00,31.6,23.7,140.3,2.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 16:00:00,41.9,14.5,140.3,1.9,OK
SA01,Zone A,14.1348,-6.7749,2025-04-05 21:00:00,23.2,26.1,140.3,1.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 01:00:00,49.4,25.2,140.3,2.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 02:00:00,40.5,28.3,140.3,2.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 03:00:00,52.8,30.0,140.3,2.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 04:00:00,31.0,31.2,140.3,1.8,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 09:00:00,49.3,22.6,140.3,2.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 11:00:00,25.5,24.1,140.3,1.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 12:00:00,48.0,36.9,140.3,1.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 14:00:00,40.6,27.2,140.3,2.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 15:00:00,26.6,27.3,140.3,1.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 16:00:00,29.9,28.5,140.3,2.2,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 17:00:00,25.6,28.1,140.3,1.9,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 18:00:00,39.3,28.8,140.3,1.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 20:00:00,65.2,30.9,140.3,2.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-06 23:00:00,29.0,24.6,140.3,2.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 00:00:00,38.1,27.0,140.3,1.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 01:00:00,37.7,25.2,140.3,2.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 02:00:00,52.0,34.7,140.3,2.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 04:00:00,24.8,31.3,140.3,3.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 10:00:00,48.4,27.7,140.3,1.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 11:00:00,32.1,29.2,140.3,1.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 14:00:00,58.4,28.5,140.3,2.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 15:00:00,45.3,33.0,140.3,1.8,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 16:00:00,51.7,24.9,140.3,1.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 18:00:00,36.7,26.2,140.3,1.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 19:00:00,21.4,26.7,140.3,1.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 21:00:00,39.2,34.2,140.3,2.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-07 22:00:00,32.7,32.4,140.3,2.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 01:00:00,33.0,26.6,140.3,3.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 02:00:00,49.1,35.9,140.3,1.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 03:00:00,62.1,24.7,140.3,3.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 05:00:00,46.0,28.3,140.3,1.8,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 07:00:00,51.2,30.0,140.3,2.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 08:00:00,55.5,25.6,140.3,1.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 09:00:00,11.3,22.0,140.3,2.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 11:00:00,16.3,27.6,140.3,2.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 12:00:00,38.2,32.6,140.3,2.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 14:00:00,31.1,18.8,140.3,1.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 15:00:00,44.7,29.2,140.3,2.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 16:00:00,29.4,25.0,140.3,1.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 20:00:00,23.4,24.9,140.3,1.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 21:00:00,32.1,28.1,140.3,2.9,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 22:00:00,51.4,30.0,140.3,1.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-08 23:00:00,32.1,30.4,140.3,2.2,OK
SA01,Zone A,14.1348,-6.7749,2025-04-09 03:00:00,39.1,25.3,140.3,1.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-09 05:00:00,57.7,29.0,140.3,1.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-09 06:00:00,44.2,31.7,140.3,1.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-09 09:00:00,32.6,27.8,140.3,1.2,OK
SA01,Zone A,14.1348,-6.7749,2025-04-09 14:00:00,33.0,28.7,140.3,2.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-09 15:00:00,46.5,29.4,140.3,1.6,OK
SA01,Zone A,14.1348,-6.7749,2025-04-09 16:00:00,53.9,29.9,140.3,1.7,OK
SA01,Zone A,14.1348,-6.7749,2025-04-09 19:00:00,38.5,29.9,140.3,2.1,OK
SA01,Zone A,14.1348,-6.7749,2025-04-09 21:00:00,39.0,25.3,140.3,2.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-09 22:00:00,48.6,24.8,140.3,1.0,OK
SA01,Zone A,14.1348,-6.7749,2025-04-09 23:00:00,38.5,30.3,140.3,2.3,OK
SA01,Zone A,14.1348,-6.7749,2025-04-10 00:00:00,29.1,25.0,140.3,2.5,OK
SA01,Zone A,14.1348,-6.7749,2025-04-10 02:00:00,58.4,29.7,140.3,2.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-10 04:00:00,31.4,33.2,140.3,1.4,OK
SA01,Zone A,14.1348,-6.7749,2025-04-10 05:00:00,27.1,25.5,140.3,2.5,OK
